"","From","To","From_Team","To_Team","channel","timestamp","type"
"245","U02H9L293M4","U02HE3Q0B7X","Organizing Team","Organizing Team","introductions","1634729927.004900","reaction"
"246","U02JD97KY4V","U02HE3Q0B7X","A1: Up Get App/CitiCERN","Organizing Team","0_announcements_read_only","1637336148.001400","reaction"
"247","U02JBFRE7GD","U02HE3Q0B7X","A3: Rhythm of Bamboos","Organizing Team","0_announcements_read_only","1637336148.001400","reaction"
"248","U02JBG5JMK7","U02HE3Q0B7X","C1: Andapé Institute","Organizing Team","0_announcements_read_only","1637336148.001400","reaction"
"249","U02JEFQUSBC","U02HE3Q0B7X","A5: Donate Water Project","Organizing Team","0_announcements_read_only","1637336148.001400","reaction"
"250","U02JEFQUSBC","U02HE3Q0B7X","A5: Donate Water Project","Organizing Team","general","1637334015.001500","reaction"
"251","U02HZQN7B1V","U02HZQN7B1V","A1: Up Get App/CitiCERN","A1: Up Get App/CitiCERN","step1_team_formation","1634948752.001400","reaction"
"252","U02HZQN7B1V","U02HZQN7B1V","A1: Up Get App/CitiCERN","A1: Up Get App/CitiCERN","step1_team_formation","1634948752.001400","reaction"
"253","U02JD97KY4V","U02HZQN7B1V","A1: Up Get App/CitiCERN","A1: Up Get App/CitiCERN","introductions","1634949173.019200","reaction"
"254","U02JD97KY4V","U02HZQN7B1V","A1: Up Get App/CitiCERN","A1: Up Get App/CitiCERN","general","1634948739.006800","reaction"
"255","U02HZQN7B1V","U02HZQN7B1V","A1: Up Get App/CitiCERN","A1: Up Get App/CitiCERN","general","1634948739.006800","reaction"
