"","From","To","From_Team","To_Team","channel","timestamp","type"
"44","U02JTSE3ESV","U02H9L293M4","A5: Donate Water Project","Organizing Team","team-donate-water-project","1635536757.001700","mention"
"45","U02H9L293M4","U02HGCBP98S","Organizing Team","Organizing Team","0_announcements_read_only","1637144771.034100","mention"
"46","U02J7P7FRM4","U02HGCBP98S","C3: WOMER","Organizing Team","general","1636881566.005200","mention"
"47","U02J7P7FRM4","U02HGCBP98S","C3: WOMER","Organizing Team","general","1636881820.005400","mention"
"48","U02J7P7FRM4","U02HGCBP98S","C3: WOMER","Organizing Team","general","1636965733.007800","mention"
"49","U02H9L293M4","U02HGD1AC11","Organizing Team","Organizing Team","0_announcements_read_only","1636971397.012500","mention"
"50","U02JD97KY4V","U02HZQN7B1V","A1: Up Get App/CitiCERN","A1: Up Get App/CitiCERN","random","1636432853.004800","mention"
"51","U02H9L293M4","U02HZQN7B1V","Organizing Team","A1: Up Get App/CitiCERN","0_team_info","1635804182.011100","mention"
"52","U02JH0V1V8U","U02HZQSS19V","C4: Climate Gender Justice","C4: Climate Gender Justice","climategenderjustice","1635923900.006400","mention"
"54","U02H9L293M4","U02HZQSS19V","Organizing Team","C4: Climate Gender Justice","0_team_info","1635804182.011100","mention"
"57","U02H9L293M4","U02HZQT4EET","Organizing Team","C1: Andapé Institute","0_team_info","1635804182.011100","mention"
"58","U02H9L293M4","U02HZR35JSK","Organizing Team","B2: TEAM FOILED","0_team_info","1635804182.011100","mention"
"59","U02H9L293M4","U02HZR5FQVD","Organizing Team","A4: Flood Rangers","general","1634896342.003800","mention"
"60","U02H9L293M4","U02HZR5FQVD","Organizing Team","A4: Flood Rangers","0_team_info","1635804182.011100","mention"
"61","U02H9L293M4","U02J0CKS2BZ","Organizing Team","C3: WOMER","inprogress-troubleshoot","1635838579.014900","mention"
"62","U02J7P7FRM4","U02J0CKS2BZ","C3: WOMER","C3: WOMER","general","1636881566.005200","mention"
"63","U02J7P7FRM4","U02J0CKS2BZ","C3: WOMER","C3: WOMER","ask_a_coach","1636448895.007000","mention"
"64","U02H9L293M4","U02J0CKS2BZ","Organizing Team","C3: WOMER","0_team_info","1635804182.011100","mention"
"65","U02J7P7FRM4","U02J0CKS2BZ","C3: WOMER","C3: WOMER","inprogress-troubleshoot","1635816975.012400","mention"
"66","U02JEFQUSBC","U02J2JA0D89","A5: Donate Water Project","Organizing Team","0_announcements_read_only","1636196499.013700","mention"
"67","U02K300F449","U02J2JA0D89","B5: Rights of Climate","Organizing Team","0_announcements_read_only","1636477182.016300","mention"
"68","U02JEFQUSBC","U02J2JA0D89","A5: Donate Water Project","Organizing Team","ask_team_o17","1635872625.001700","mention"
"69","U02JEFQUSBC","U02J2JA0D89","A5: Donate Water Project","Organizing Team","team-donate-water-project","1636280354.003300","mention"
"70","U02JEFQUSBC","U02J2JA0D89","A5: Donate Water Project","Organizing Team","team-donate-water-project","1635880646.013900","mention"
